Country,Year,Happiness Rank,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Trust (Government Corruption),Lower Confidence Interval,Upper Confidence Interval,Generosity,Dystopia Residual
Switzerland,2015,1,7.587,1.39651,0.94143,0.66557,0.41978,7.5201443999999995,7.5201443999999995,0.29678,2.51738
Iceland,2015,2,7.561,1.30232,0.94784,0.62877,0.14145,7.4652736,7.4652736,0.4363,2.70201
Denmark,2015,3,7.527,1.32548,0.87464,0.64938,0.48357,7.4617712,7.4617712,0.34139,2.49204
Norway,2015,4,7.522,1.459,0.88521,0.66973,0.36503,7.445952,7.445952,0.34699,2.46531
Canada,2015,5,7.427,1.32629,0.90563,0.63297,0.32957,7.3573612,7.3573612,0.45811,2.45176
Finland,2015,6,7.406,1.29025,0.88911,0.64169,0.41372,7.344456,7.344456,0.23351,2.61955
Netherlands,2015,7,7.378,1.32944,0.89284,0.61576,0.31814,7.3231396,7.3231396,0.4761,2.4657
Sweden,2015,8,7.364,1.33171,0.91087,0.6598,0.43844,7.3021228,7.3021228,0.36262,2.37119
New Zealand,2015,9,7.286,1.25018,0.90837,0.63938,0.42922,7.2199284,7.2199284,0.47501,2.26425
Australia,2015,10,7.284,1.33358,0.93156,0.65124,0.35637,7.2039732,7.2039732,0.43562,2.26646
Israel,2015,11,7.278,1.22857,0.91387,0.41319,0.07785,7.209987999999999,7.209987999999999,0.33172,3.08854
Costa Rica,2015,12,7.226,0.95578,0.86027,0.63376,0.10583,7.1387016,7.1387016,0.25497,3.17728
Austria,2015,13,7.2,1.33723,0.89042,0.62433,0.18676,7.1264804,7.1264804,0.33088,2.5332
Mexico,2015,14,7.187,1.02054,0.81444,0.48181,0.21312,7.1051504,7.1051504,0.14074,3.60214
United States,2015,15,7.119,1.39451,0.86179,0.54604,0.1589,7.0437556,7.0437556,0.40105,2.51011
Brazil,2015,16,6.983,0.98124,0.69702,0.49049,0.17521,6.9031104,6.9031104,0.14574,3.26001
Luxembourg,2015,17,6.946,1.56391,0.91894,0.61583,0.37798,6.8774196,6.8774196,0.28034,1.96961
Ireland,2015,18,6.94,1.33596,0.89533,0.61777,0.28703,6.867950400000001,6.867950400000001,0.45901,1.9757
Belgium,2015,19,6.937,1.30782,0.89667,0.5845,0.2254,6.866538,6.866538,0.2225,2.41484
United Arab Emirates,2015,20,6.901,1.42727,0.80925,0.64157,0.38583,6.8279116,6.8279116,0.26428,2.24743
United Kingdom,2015,21,6.867,1.26637,0.90943,0.59625,0.32067,6.8304264,6.8304264,0.51912,1.96994
Oman,2015,22,6.853,1.36011,0.76276,0.63274,0.32524,6.748434,6.748434,0.21542,2.47489
Venezuela,2015,23,6.81,1.04424,0.72052,0.42908,0.11069,6.683070399999999,6.683070399999999,0.05841,3.19131
Singapore,2015,24,6.798,1.52186,1.02525,0.54252,0.4921,6.723912,6.723912,0.31105,1.88501
